id,Nombre,Apellido,Genero,Asignatura,Edad,Nota
508,Andonis,Wincer,Female,Backend,23,1.78
509,Gerry,Ilchenko,Beyblade,Backend,25,0.16
510,Peirce,Simner,Beyblade,Backend,22,3.29
511,Lu,Le Ball,Beyblade,Backend,,2.07
512,Kaiser,Coraini,Male,Frontend,24,2.26
513,Crissie,Tinker,Female,Full-Stack,19,2.03
514,Boigie,Priditt,Beyblade,Backend,19,2.55
515,Jessey,Weston,Beyblade,Frontend,24,3.18
516,Beauregard,Oram,Beyblade,Full-Stack,20,2.37
517,Aubrey,Berecloth,Beyblade,Backend,23,2.26
518,Xavier,Litherland,Beyblade,Full-Stack,23,1.84
519,Olivero,Mc Curlye,Female,Backend,25,0.06
520,Mellisent,Peers,Female,Frontend,20,2.14
521,Warren,Speere,Female,Backend,17,0.2
522,Madeleine,Bert,Female,Backend,25,1.57
523,Cathie,Trimme,Beyblade,Backend,17,3.78
524,Suki,Rankling,Female,Backend,21,3.58
525,Daloris,Crowther,Beyblade,Backend,17,1.05
526,Kelsey,Peschmann,Beyblade,Frontend,16,3.79
527,Sibyl,Mallabon,Male,Backend,24,1.91
528,Orv,Beneteau,Beyblade,Backend,17,0.58
529,Duane,Caress,Beyblade,Backend,23,3.34
530,Catarina,Wallach,Female,Frontend,18,1.79
531,Noellyn,Robe,Beyblade,Frontend,24,0.78
532,Kasper,Rankling,Female,Backend,20,2.7
533,Cassaundra,Kidd,Female,Full-Stack,25,
534,Maud,Filippo,Female,Backend,16,3.08
535,Babbette,Timberlake,Female,Backend,24,1.11
536,Fidel,Broggio,Male,Backend,17,1.36
537,Warden,Soitoux,Beyblade,Backend,19,3.59
538,Byrom,Carmont,Beyblade,Frontend,18,1.39
539,Ezekiel,Toward,Beyblade,Backend,19,2.23
540,Fionnula,Broe,Female,Full-Stack,19,1.35
541,Grange,Bau,Beyblade,Frontend,22,1.54
542,Raquela,Taborre,Female,Backend,19,0.09
543,Lezley,Branwhite,Male,Backend,,3.83
544,Zeke,Kirkman,Beyblade,Backend,16,1.75
545,Felipa,Cossar,Female,Full-Stack,16,
546,Paola,Ducker,Male,Frontend,25,3.62
547,Clara,Goodspeed,Female,Backend,18,0.59
548,Hunt,Keary,Male,Frontend,25,2.29
549,Augustina,Birnie,Male,Full-Stack,19,0.18
550,Jorge,Ciotti,Beyblade,Frontend,20,2.38
551,Lebbie,Prosch,Beyblade,Backend,,3.62
552,Kitty,Peasee,Female,Frontend,24,3.08
553,Anna-diana,Reisenstein,Beyblade,Frontend,17,0.55
554,Colet,Trenaman,Male,Frontend,25,2.63
555,Shane,Abercrombie,Beyblade,Backend,18,2.56
556,Tiler,Dorracott,Male,Frontend,20,0.27
557,Joice,Mulberry,Female,Backend,17,2.94
558,Devan,Baitey,Beyblade,Frontend,24,3.21
559,Freddie,Beynke,Beyblade,Backend,19,0.62
560,Eduard,Gallagher,Beyblade,Frontend,23,2.93
561,Pansie,Salling,Female,Full-Stack,22,1.86
562,Friedrich,Leeburne,Beyblade,Backend,19,1.2
563,Lynda,Dennerley,Beyblade,Backend,17,3.85
564,Ruggiero,Ahrend,Beyblade,Backend,20,0.21
565,Torry,Dominichetti,Female,Backend,22,1.58
566,Wildon,Jennaroy,Beyblade,Frontend,23,3.22
567,Elly,Dionisii,Beyblade,Backend,25,2.35
568,Myrtia,Liebermann,Male,Backend,25,1.44
569,Wilmer,Izac,Female,Frontend,25,2.78
570,Beth,Veillard,Beyblade,Backend,21,2.13
571,Gonzalo,Carnegy,Female,Frontend,,
572,Fulvia,Schroeder,Female,Full-Stack,22,
573,Stanley,Capnerhurst,Beyblade,Full-Stack,24,
574,Chelsey,Pattesall,Female,Full-Stack,24,2.3
575,Peter,Ikins,Male,Frontend,20,3.18
576,Abrahan,Vassie,Male,Full-Stack,23,1.21
577,Golda,MacCostye,Beyblade,Backend,22,0.04
578,Yvette,Scarman,Male,Full-Stack,22,0.73
579,Toby,Perch,Female,Backend,16,1.41
580,Randy,Chazotte,Beyblade,Frontend,19,3.08
581,Glenna,Janous,Beyblade,Frontend,18,3.12
582,Rasla,Marchant,Female,Backend,22,1.91
583,Cordelie,Scowcraft,Male,Frontend,,3.34
584,Elberta,Keningham,Male,Full-Stack,21,3.9
585,Charleen,Hazelby,Beyblade,Frontend,23,3.02
586,Holly,Lindeman,Female,Frontend,21,3.87
587,Bernelle,Nolleth,Beyblade,Backend,,3.86
588,Nicki,Crumbleholme,Female,Backend,17,2.35
589,Sofia,Heinig,Beyblade,Frontend,22,2.29
590,Rube,Blackden,Beyblade,Backend,25,1.09
591,Mable,Ludlow,Female,Frontend,21,1.97
592,Gigi,Glantz,Beyblade,Backend,20,1.78
593,Lorene,Everex,Male,Frontend,24,2.26
594,Denys,Beaney,Male,Backend,17,1.72
595,Harlene,Cawthron,Beyblade,Backend,19,0.3
596,Aveline,Crosgrove,Beyblade,Frontend,,0.0
597,Ange,Bleibaum,Female,Full-Stack,18,1.64
598,Patrice,Hindsberg,Beyblade,Frontend,,1.9
599,Ronda,Dumigan,Female,Backend,17,2.62
600,Gareth,Goldstraw,Female,Backend,19,3.11
601,Andeee,Roussell,Female,Backend,24,0.56
602,Alia,Simon,Beyblade,Full-Stack,20,0.09
603,Brady,Grimme,Beyblade,Frontend,23,1.49
604,Chet,McCaughran,Beyblade,Frontend,19,3.66
605,Zelda,MacCosty,Female,Frontend,21,2.25
606,Marietta,Shortell,Beyblade,Full-Stack,25,1.61
607,Eunice,Rymour,Female,Backend,19,1.12
608,Dasie,Smewings,Male,Backend,23,2.05
609,Savina,Roughsedge,Female,Frontend,,
610,Ber,Cuvley,Female,Full-Stack,16,2.76
611,Mersey,Paolo,Beyblade,Backend,25,1.66
612,Frants,Shillan,Male,Full-Stack,16,2.05
613,Guillaume,Cairney,Beyblade,Frontend,24,0.99
614,Andee,Letteresse,Beyblade,Frontend,21,3.12
615,Jeremias,Rampage,Male,Full-Stack,19,1.96
616,Elora,Ferier,Male,Full-Stack,16,0.86
617,Robena,Andrichak,Male,Frontend,19,
618,Wilbert,Hartup,Beyblade,Backend,24,0.68
619,Ivor,Poate,Female,Backend,16,1.62
620,Xever,Lafflina,Beyblade,Frontend,25,1.53
621,Jdavie,Jerrems,Beyblade,Backend,19,0.05
622,Arline,Meany,Beyblade,Backend,18,1.68
623,Derby,Hargerie,Beyblade,Backend,19,0.22
624,Basia,Newiss,Male,Backend,21,3.22
625,Ricardo,Cowper,Female,Backend,16,0.53
626,Kaylyn,Moses,Beyblade,Full-Stack,16,1.93
627,Thaddeus,Eveque,Beyblade,Backend,23,3.79
628,Sergei,Shaudfurth,Beyblade,Full-Stack,,1.68
629,Tully,Mablestone,Male,Backend,20,0.83
630,Marlena,Konmann,Male,Backend,16,1.63
631,Tonia,Enrich,Beyblade,Backend,21,0.12
632,Caressa,Bergeon,Beyblade,Frontend,24,3.22
633,Cammy,Horick,Female,Backend,22,3.11
634,Korella,Loble,Beyblade,Full-Stack,16,2.12
635,Jaclin,Hearns,Male,Frontend,22,2.23
636,Marylou,Meriton,Beyblade,Backend,22,
637,Nissy,Girardey,Beyblade,Backend,17,3.26
638,Kassandra,McCahill,Beyblade,Backend,23,3.3
639,Katerina,Hofler,Beyblade,Backend,22,0.54
640,Vyky,Paslow,Male,Backend,16,1.33
641,Aimil,Breffitt,Beyblade,Full-Stack,18,0.02
642,Mauricio,Christer,Female,Backend,16,0.84
643,Francois,Trowsdall,Male,Frontend,24,2.37
644,Derwin,Dahlberg,Beyblade,Backend,24,1.35
645,Obadiah,Sapsford,Beyblade,Full-Stack,20,3.81
646,Rubia,Waslin,Male,Frontend,16,3.11
647,Radcliffe,Kobsch,Beyblade,Backend,20,0.22
648,Raddie,Romme,Beyblade,Backend,23,3.7
649,Linn,Delph,Beyblade,Backend,16,2.8
650,Cherlyn,Beniesh,Female,Full-Stack,18,3.62
651,Audra,Barczynski,Beyblade,Backend,21,2.12
652,Cecile,Fattori,Beyblade,Backend,24,3.75
653,Sauncho,Carthew,Beyblade,Full-Stack,20,1.65
654,Edee,Beaten,Female,Full-Stack,19,3.2
655,Cybil,Maskell,Male,Frontend,20,1.12
656,Milty,Decker,Male,Full-Stack,16,1.74
657,Nevil,Baudino,Beyblade,Frontend,25,0.29
658,Bary,Sineath,Beyblade,Backend,19,2.51
659,Gussie,Puve,Female,Full-Stack,18,0.6
660,Broderic,Swaine,Beyblade,Full-Stack,19,1.5
661,Kesley,Skyner,Beyblade,Frontend,24,1.35
662,Had,Symers,Female,Full-Stack,20,1.85
663,Artie,Mallard,Beyblade,Backend,24,3.39
664,Broderick,Grellier,Female,Backend,,0.69
665,Cate,Bengough,Female,Frontend,25,2.33
666,Emmit,Meyrick,Beyblade,Backend,22,1.82
667,Nickolai,Waltering,Beyblade,Full-Stack,20,1.91
668,Anjela,O'Devey,Female,Backend,22,1.18
669,Thalia,Schutte,Beyblade,Full-Stack,18,1.75
670,Dasie,Ruggen,Female,Backend,20,2.84
671,Adrea,Kehri,Male,Backend,22,0.98
672,Conny,Abramowitch,Female,Backend,19,3.11
673,Eba,Domenichelli,Male,Backend,16,1.32
674,Haleigh,Woolfall,Beyblade,Backend,18,0.38
675,Crysta,Pumphrey,Female,Full-Stack,19,3.28
676,Traci,Shearwood,Female,Frontend,20,2.79
677,Boyce,Gadsden,Beyblade,Backend,21,3.44
678,Malorie,Beardwood,Male,Frontend,16,1.07
679,Tristam,Wolland,Female,Frontend,21,1.07
680,Arlie,Grimmert,Beyblade,Frontend,24,0.84
681,Judi,Moukes,Beyblade,Frontend,17,3.72
682,Torey,Yanyshev,Female,Full-Stack,16,1.48
683,Elke,Boanas,Beyblade,Frontend,24,0.3
684,Inesita,Snufflebottom,Female,Backend,23,0.62
685,Natividad,Farny,Female,Frontend,19,3.55
686,Sisile,Canepe,Beyblade,Frontend,21,2.3
687,Cornall,Kovelmann,Beyblade,Frontend,22,1.51
688,Wren,Rickman,Beyblade,Backend,19,
689,Brandice,Pasek,Beyblade,Backend,20,1.37
690,Ingamar,Barritt,Beyblade,Full-Stack,18,1.33
691,Esther,Kyneton,Male,Frontend,25,3.55
692,Jefferson,Mault,Beyblade,Frontend,23,2.23
693,Chantal,Whotton,Female,Frontend,21,0.35
694,Annissa,Moff,Female,Full-Stack,17,1.32
695,Major,Ashbrook,Beyblade,Backend,21,3.78
696,Teodora,Ruslen,Beyblade,Backend,16,1.12
697,Hernando,Boxhall,Female,Full-Stack,16,1.61
698,Sonnnie,Skeel,Beyblade,Full-Stack,20,2.7
699,Dennet,Oloman,Beyblade,Backend,20,2.32
700,Rikki,Gurrado,Male,Full-Stack,25,2.27
701,Alwin,Donet,Female,Frontend,25,3.53
702,Oralia,Binley,Beyblade,Backend,18,1.58
703,Britni,Oxbrow,Beyblade,Backend,19,1.27
704,Bondon,Paulet,Male,Backend,,0.57
705,Magdalene,O'Kuddyhy,Beyblade,Frontend,24,1.29
706,Bambi,Salzberg,Beyblade,Frontend,22,2.24
707,Ev,Mateu,Beyblade,Backend,20,1.45
708,Louisa,Robic,Female,Frontend,22,2.71
709,Angie,Vanderplas,Male,Frontend,22,1.79
710,Bard,Cafferty,Male,Backend,24,0.19
711,Forester,Tearny,Beyblade,Backend,22,1.16
712,Livvy,Searchwell,Beyblade,Backend,16,0.08
713,Donaugh,Rizzo,Female,Frontend,24,1.82
714,Maire,Londesborough,Female,Backend,18,1.16
715,Sampson,Dutteridge,Beyblade,Backend,23,2.04
716,Becca,Roskrug,Beyblade,Full-Stack,19,0.94
717,Chalmers,Bewly,Male,Backend,23,3.12
718,Edgar,Chiles,Beyblade,Full-Stack,20,0.41
719,Vladamir,Gather,Male,Backend,18,2.85
720,Starla,Giacomini,Male,Frontend,25,1.4
721,Austine,Moorfield,Female,Backend,20,
722,Hartley,Elsbury,Beyblade,Backend,20,2.44
723,Sybyl,Gogarty,Beyblade,Backend,19,1.3
724,Donielle,Gunn,Beyblade,Backend,22,1.55
725,Paige,Redmire,Male,Frontend,24,2.44
726,Israel,Zorzetti,Male,Backend,17,1.06
727,Thornie,Gateman,Beyblade,Backend,,0.85
728,Boot,Stanway,Female,Backend,16,2.5
729,Jaynell,Sainthill,Beyblade,Backend,,2.51
730,Maible,Bogey,Beyblade,Frontend,17,1.34
731,Franciska,Bysh,Female,Full-Stack,17,2.68
732,Roma,Stonier,Female,Backend,23,2.89
733,Brit,Bowcock,Female,Backend,23,0.01
734,Forrest,Depper,Beyblade,Full-Stack,19,2.3
735,Slade,Niessen,Beyblade,Backend,18,3.46
736,Howard,Degli Abbati,Beyblade,Full-Stack,25,3.96
737,Retha,Diddams,Beyblade,Backend,23,0.91
738,Brittney,Conachie,Female,Backend,20,
739,Mallissa,McTaggart,Beyblade,Full-Stack,19,3.15
740,Arden,Robbins,Beyblade,Frontend,21,
741,Chance,Hannant,Female,Full-Stack,25,2.45
742,Hayley,Titt,Female,Backend,,1.05
743,Alard,Huttley,Beyblade,Frontend,16,2.61
744,Esther,Chess,Female,Full-Stack,25,2.27
745,Ansley,Pashler,Female,Frontend,16,2.55
746,Collette,Brownlea,Beyblade,Backend,22,3.6
747,Nickie,Gyford,Beyblade,Backend,21,1.6
748,Kayne,Peplay,Beyblade,Full-Stack,20,3.36
749,Thayne,Alston,Female,Backend,19,1.52
750,Ned,Reinbach,Beyblade,Backend,16,0.77
751,Nickey,Bossel,Male,Backend,18,3.07
752,Antonino,Yerbury,Beyblade,Frontend,25,0.32
753,Stephen,Featherbie,Beyblade,Backend,16,1.31
754,Base,Wagenen,Female,Frontend,22,1.0
755,Patrick,Duffield,Beyblade,Frontend,20,0.02
756,Iago,Bonnar,Female,Frontend,20,2.0
757,Elysha,Osment,Beyblade,Backend,17,1.73
758,Joletta,Morgan,Beyblade,Full-Stack,23,3.21
759,Bride,Raubheim,Female,Full-Stack,17,2.99
760,Emalia,Duggleby,Beyblade,Frontend,25,1.14
761,Verna,Escalera,Male,Backend,23,1.58
762,Dwayne,Treadgear,Beyblade,Frontend,22,0.65
763,Luce,Madgett,Beyblade,Full-Stack,25,0.53
764,Hannah,Akett,Beyblade,Full-Stack,22,1.86
765,Marcie,Eskell,Beyblade,Frontend,16,3.17
766,Padget,Whitcomb,Female,Backend,25,3.23
767,Rutherford,Barbrook,Beyblade,Frontend,20,3.44
768,Tad,Franzman,Female,Backend,18,1.69
769,Benedicto,Reightley,Male,Backend,25,2.64
770,Cornelia,Mumbray,Male,Backend,19,
771,Nikolaus,Reinmar,Female,Backend,23,1.81
772,Enoch,Gapp,Male,Frontend,16,2.58
773,Sandra,Asif,Beyblade,Backend,21,0.15
774,Eldridge,Mill,Beyblade,Backend,24,1.45
775,Stella,Chessman,Beyblade,Backend,25,0.74
776,Nanon,Asel,Female,Frontend,20,0.21
777,Leanor,Duggen,Male,Frontend,19,1.44
778,Agata,Crossdale,Female,Full-Stack,16,3.35
779,Merle,Gerrit,Female,Backend,,3.15
780,Ulrike,Botting,Beyblade,Backend,17,0.72
781,Hardy,Rhule,Beyblade,Frontend,19,0.09
782,Kevina,Hynde,Beyblade,Full-Stack,16,1.13
783,Derry,Inchboard,Beyblade,Frontend,21,3.25
784,Diarmid,Smallpeice,Beyblade,Full-Stack,24,2.27
785,Lucilia,Sealey,Beyblade,Frontend,23,1.15
786,Abrahan,Polo,Beyblade,Backend,,
787,Clarabelle,Barnish,Beyblade,Frontend,22,0.37
788,Hayyim,Gyurko,Beyblade,Frontend,22,3.5
789,Patton,Wardhaw,Beyblade,Backend,17,3.11
790,Orelie,Kinnett,Beyblade,Frontend,,2.56
791,Blake,Heymann,Beyblade,Full-Stack,18,3.27
792,Abbie,Laundon,Beyblade,Backend,25,0.55
793,Camila,Poyntz,Beyblade,Backend,16,2.77
794,Sibeal,Tebbe,Female,Full-Stack,23,0.68
795,Manya,Ygoe,Female,Full-Stack,23,0.58
796,Abie,Lynn,Male,Backend,16,0.89
797,Terrence,Backler,Female,Backend,20,3.89
798,Keefer,Wooder,Male,Frontend,20,2.67
799,Dall,Lemmer,Male,Backend,19,3.69
800,Correna,Melanaphy,Female,Frontend,25,0.22
801,Ogdan,Gaul,Beyblade,Frontend,25,3.64
802,Moria,Fills,Beyblade,Backend,20,1.26
803,Nariko,Wilkisson,Beyblade,Backend,,0.19
804,Sidney,Leivers,Male,Backend,20,1.59
805,Richart,Harpin,Beyblade,Frontend,22,3.84
806,Bartie,Crichten,Beyblade,Backend,23,0.5
807,De witt,Sulley,Male,Backend,17,1.88
808,Joachim,McDaid,Beyblade,Frontend,20,0.12
809,Kellyann,Blasius,Beyblade,Backend,20,3.65
810,Lawton,Mullord,Beyblade,Backend,25,1.16
811,Elisabetta,M'Barron,Female,Full-Stack,19,1.61
812,Deane,Henrot,Beyblade,Backend,16,0.1
813,Yolane,Cauley,Female,Frontend,17,1.58
814,Warren,Gorick,Beyblade,Backend,21,1.65
815,Valli,Paddeley,Male,Frontend,16,0.11
816,Vern,McCallion,Beyblade,Full-Stack,25,0.91
817,Cameron,Kharchinski,Beyblade,Backend,20,3.52
818,Mora,Tocknell,Female,Frontend,,2.42
819,Yvor,Bwy,Beyblade,Backend,16,3.03
820,Tess,Werrit,Male,Backend,,3.81
821,Isadore,Fillery,Male,Backend,18,1.3
822,Alyss,Alford,Beyblade,Backend,23,2.39
823,Therine,Butler-Bowdon,Female,Backend,21,3.58
824,Aurore,Frandsen,Male,Backend,18,1.64
825,Brandtr,Wollacott,Female,Full-Stack,21,3.84
826,Sacha,Thorneloe,Beyblade,Backend,25,3.15
827,Hamlin,McNickle,Beyblade,Backend,23,1.37
828,Donn,Inglesent,Female,Full-Stack,22,3.51
829,Charlotta,Yepiskopov,Female,Backend,25,2.35
830,Isabeau,Lowrance,Beyblade,Frontend,23,2.46
831,Karlotte,Jeayes,Beyblade,Frontend,21,0.77
832,Pippa,O' Faherty,Beyblade,Backend,18,3.46
833,Maridel,Hackly,Beyblade,Backend,25,3.52
834,Gene,Benaine,Beyblade,Backend,21,3.6
835,Colene,Treversh,Beyblade,Frontend,19,3.02
836,Jobey,Speir,Male,Backend,21,0.28
837,Derward,Skeemer,Beyblade,Frontend,22,1.72
838,Ellerey,Twiddy,Female,Frontend,22,0.45
839,Malvina,Muehle,Beyblade,Backend,16,3.9
840,Janetta,Getty,Female,Frontend,23,0.54
841,Grazia,Lantry,Male,Frontend,,0.4
842,Carleen,Olennikov,Male,Frontend,19,3.47
843,Milt,Tonner,Beyblade,Full-Stack,20,0.98
844,Gertruda,Mullineux,Beyblade,Backend,22,2.67
845,Jarid,Allan,Male,Frontend,23,2.75
846,Emeline,Ilyunin,Male,Backend,18,0.28
847,Timothee,Lambden,Beyblade,Backend,18,3.31
848,Steffen,Dafydd,Female,Backend,17,1.37
849,Seana,Deville,Female,Backend,,0.22
850,Slade,Kuhnert,Female,Backend,24,3.2
851,Dulcy,Papierz,Beyblade,Backend,19,2.66
852,Chrystal,Chumley,Female,Backend,23,2.07
853,Adiana,Kneel,Beyblade,Backend,18,2.69
854,Worthington,Wortman,Beyblade,Backend,16,2.32
855,Brien,Eastcott,Beyblade,Backend,19,2.26
856,Ailey,Gammell,Beyblade,Backend,19,3.4
857,Merrel,MacKibbon,Beyblade,Frontend,24,1.08
858,Wendi,Coate,Male,Backend,16,
859,Gilberto,Vieyra,Beyblade,Full-Stack,21,0.93
860,Chris,Augustine,Beyblade,Backend,25,2.97
861,Jeralee,Chamberlayne,Beyblade,Backend,22,2.92
862,Randene,Lennarde,Beyblade,Backend,25,3.82
863,Lotte,Mouser,Beyblade,Frontend,16,2.83
864,Mildrid,Fenna,Female,Frontend,21,0.5
865,Tobin,Redfield,Beyblade,Backend,17,0.96
866,Sarene,Doyley,Female,Frontend,23,1.87
867,Patrizia,Copland,Beyblade,Frontend,24,1.63
868,Melinda,Orpin,Female,Frontend,21,0.95
869,Jere,Tully,Beyblade,Frontend,18,1.14
870,Quintina,Gallihawk,Female,Backend,17,3.88
871,Rosene,O' Donohue,Beyblade,Frontend,21,0.38
872,Dasi,McAulay,Beyblade,Backend,23,1.56
873,Willi,McKevitt,Beyblade,Frontend,22,3.59
874,Cariotta,Klimov,Beyblade,Backend,23,3.03
875,Dorette,Eckersley,Beyblade,Full-Stack,16,1.11
876,Glad,Hackney,Beyblade,Full-Stack,16,2.68
877,Lucas,Ambrose,Beyblade,Backend,19,3.3
878,Brooke,Sleightholme,Female,Frontend,23,2.26
879,Pieter,Schneidau,Beyblade,Frontend,19,2.07
880,Cyndy,Geibel,Beyblade,Full-Stack,16,1.04
881,Olivier,Alvarado,Male,Full-Stack,16,0.76
882,Igor,Ledley,Beyblade,Backend,20,3.16
883,Stormie,Matteo,Beyblade,Frontend,21,2.89
884,Van,Prestidge,Beyblade,Full-Stack,19,3.22
885,Ginger,Spray,Female,Backend,23,2.36
886,Vivian,Durdan,Beyblade,Frontend,24,0.8
887,Gwendolin,McGerraghty,Beyblade,Backend,21,1.96
888,Ferdinanda,Franzel,Beyblade,Backend,18,1.83
889,Barron,Conti,Beyblade,Backend,16,1.97
890,Rossie,Luparto,Beyblade,Frontend,23,0.91
891,Sampson,Mersey,Beyblade,Backend,20,3.13
892,Iolanthe,Fargher,Beyblade,Backend,25,0.62
893,Ezri,O'Dennehy,Female,Backend,17,1.66
894,Shantee,Poker,Male,Backend,25,1.44
895,Jasmine,Beyer,Male,Full-Stack,25,0.6
896,Rutger,Bottrell,Male,Backend,17,0.22
897,Ermin,Le Galle,Beyblade,Frontend,20,3.64
898,Noby,Locket,Beyblade,Backend,20,0.09
899,Katina,Gawne,Beyblade,Frontend,,3.8
900,Clayborn,Calcut,Beyblade,Full-Stack,20,1.53
901,Elysha,Hamlett,Male,Backend,22,3.97
902,Alex,Burgess,Beyblade,Backend,23,0.22
903,Jenny,Rowney,Beyblade,Backend,17,
904,Mohandas,Vernazza,Female,Backend,22,1.15
905,Luigi,McMenamin,Beyblade,Backend,17,1.35
906,Almira,Hurlestone,Female,Backend,20,2.78
907,Bethany,Spoward,Female,Frontend,21,2.16
908,Sherlock,Woodington,Male,Backend,18,3.91
909,Shep,Plester,Female,Backend,21,3.69
910,Clerc,Sedgeman,Beyblade,Backend,21,1.79
911,Marcos,Scanlon,Female,Backend,25,2.17
912,Jayson,Philson,Beyblade,Backend,16,3.88
913,Emmerich,Fosten,Male,Backend,16,3.7
914,Darrin,Goligher,Beyblade,Backend,23,
915,Alaine,Callister,Beyblade,Full-Stack,,1.18
916,Sampson,Vondra,Beyblade,Backend,23,1.16
917,Sandi,Chittie,Female,Full-Stack,17,1.8
918,Benn,Hiley,Beyblade,Backend,19,0.92
919,Tami,Fulmen,Female,Frontend,17,1.76
920,Cedric,Atton,Beyblade,Backend,20,3.87
921,Corny,Bertson,Male,Backend,18,1.49
922,Karalee,Tresise,Female,Full-Stack,24,2.22
923,Sigrid,Yuill,Female,Backend,18,0.73
924,Ddene,Comerford,Beyblade,Frontend,23,2.57
925,Joshia,Mardling,Beyblade,Backend,22,1.24
926,Ethelred,Loughren,Beyblade,Backend,19,3.6
927,Elroy,Rapi,Male,Backend,16,0.44
928,Hephzibah,Sarchwell,Beyblade,Frontend,17,2.94
929,Verna,Rossi,Female,Full-Stack,22,
930,Weidar,Dibdale,Male,Backend,,3.66
931,Barbee,Troak,Beyblade,Full-Stack,17,3.26
932,Craggie,Harsent,Beyblade,Full-Stack,18,3.67
933,Darb,Scotts,Male,Backend,23,1.71
934,Tatiania,Corten,Female,Backend,23,0.42
935,Patric,Hoggan,Beyblade,Backend,22,3.09
936,Tilda,Quesne,Female,Frontend,17,0.58
937,Pauli,Casaccia,Male,Full-Stack,18,1.89
938,Emlen,Hotchkin,Male,Backend,21,2.11
939,Linnell,Gaskarth,Female,Backend,19,
940,Paco,Hellin,Female,Full-Stack,25,3.83
941,Chantal,Glendinning,Female,Full-Stack,22,0.6
942,Trumaine,Broomfield,Beyblade,Backend,24,0.9
943,Ophelie,Twinbrow,Beyblade,Full-Stack,22,1.4
944,Lilith,Cayzer,Female,Frontend,17,0.65
945,Loralyn,Jozefowicz,Female,Backend,24,2.93
946,Melisent,Brothers,Beyblade,Backend,20,0.67
947,Kimbra,Scolding,Male,Frontend,23,
948,Roscoe,Gadd,Beyblade,Full-Stack,20,1.95
949,Alysia,Lorans,Beyblade,Backend,16,1.22
950,Andra,Madison,Beyblade,Backend,19,0.08
951,Tate,Fleming,Beyblade,Backend,25,2.8
952,Wilma,Tersay,Female,Backend,,0.51
953,Jamaal,Lindstedt,Male,Backend,25,0.38
954,Patrica,Vatini,Beyblade,Backend,17,1.92
955,Adeline,Twinberrow,Beyblade,Backend,25,3.72
956,Rancell,Scranedge,Beyblade,Backend,25,2.69
957,Karilynn,Offill,Female,Backend,16,0.14
958,Solomon,Pinchin,Female,Frontend,21,0.61
959,Dione,Bromell,Male,Backend,24,2.85
960,Gwenora,De Bruijne,Beyblade,Backend,25,0.95
961,Dall,Schapiro,Beyblade,Frontend,22,2.05
962,Kai,Honsch,Female,Frontend,18,2.19
963,Anselma,Elflain,Beyblade,Backend,24,3.38
964,Lindsay,Mc Grath,Male,Backend,21,1.57
965,Paige,Hallen,Beyblade,Backend,17,3.14
966,Sydel,Halso,Female,Frontend,18,1.68
967,Pincus,Perris,Beyblade,Backend,18,0.91
968,Teriann,Logsdale,Female,Frontend,22,3.95
969,Perla,Bocking,Female,Frontend,19,0.77
970,Marlena,Tootin,Male,Backend,19,1.96
971,Dee dee,Ellaway,Beyblade,Backend,18,0.39
972,Lela,Miquelet,Beyblade,Backend,25,0.38
973,Gregorio,Keveren,Beyblade,Frontend,21,1.21
974,Jacky,Edyson,Beyblade,Full-Stack,18,2.94
975,Sigrid,Pike,Beyblade,Backend,17,3.02
976,Belia,Ebbens,Beyblade,Backend,20,1.14
977,Erick,Clurow,Beyblade,Full-Stack,16,2.35
978,Stanley,Halleday,Female,Backend,19,0.76
979,Christin,Ronchetti,Female,Frontend,23,1.81
980,Ely,Malcher,Male,Frontend,23,1.89
981,Carter,MacVanamy,Beyblade,Frontend,24,2.97
982,Mayer,Ovesen,Beyblade,Backend,20,0.47
983,Jeramey,Farnham,Beyblade,Backend,20,1.57
984,Pennie,Elletson,Beyblade,Backend,22,1.67
985,Rosemarie,Maggiori,Female,Frontend,22,3.36
986,Tito,Devers,Female,Frontend,19,
987,Anna-diane,Lumbly,Male,Frontend,16,0.88
988,Steve,Christy,Beyblade,Backend,20,2.04
989,Jinny,Bernardo,Beyblade,Full-Stack,24,3.45
990,Anabella,Cordrey,Beyblade,Backend,17,3.43
991,Beth,Semper,Beyblade,Backend,17,
992,Brad,Arlet,Female,Frontend,19,2.69
993,Thorvald,Stigell,Male,Backend,19,1.74
994,Alana,Budden,Beyblade,Frontend,24,1.11
995,Orel,Carmel,Female,Backend,25,0.73
996,Romona,Dunster,Beyblade,Frontend,22,2.88
997,Jermayne,Dunton,Beyblade,Frontend,24,0.42
998,Wilhelmina,Massard,Female,Backend,20,3.87
999,Humfrey,Gostall,Beyblade,Backend,19,
1000,Sherilyn,Balstone,Female,Backend,21,0.55
